Latitude,Longitude
59.938732,30.316229
41.0091982,28.9662187
38.4224548,27.1310699
60.1674881,24.9427473
47.0245117,28.8322923
45.4641943,9.1896346
30.0443879,31.2357257
44.7720845,17.1917651
40.3755885,49.8328009
20.6720375,-103.338396
27.708317,85.3205817
21.0294498,105.8544441
10.7758439,106.7017555
19.4326296,-99.1331785
41.8933203,12.4829321
25.6802019,-100.315258
56.839104,60.60825
43.8519774,18.3866868
49.9923181,36.2310146
50.4500336,30.5241361
51.0460954,-114.065465
33.8439408,9.400138
53.5462055,-113.491241
52.3727598,4.8936041
44.8178131,20.4568974
46.4843023,30.7322878
48.8588897,2.3200410217200766
51.4392648,5.478633
42.1418541,24.7499297
40.6403167,22.9352716
45.4208777,-75.6901106
42.6977028,23.3217359
51.9244424,4.47775
43.2073873,27.9166653
45.2551338,19.8451756
52.080985600000005,5.12768396945229
52.5170365,13.3888599
33.8959203,35.47843
30.2711286,-97.7436995
1.357107,103.8194992
43.6534817,-79.3839347
-36.852095,174.7631803
42.4415238,19.2621081
49.2608724,-123.113952
35.6828387,139.7594549
48.4283182,-123.3649533
49.8955367,-97.1384584
42.3554334,-71.060511
41.8755616,-87.6244212
43.2363924,76.9457275
59.9133301,10.7389701
50.1106444,8.6820917
48.1435149,17.108279
32.7762719,-96.7968559
45.84264135,15.962231476593626
53.550341,10.000654
50.047136,19.8896389
56.9493977,24.1051846
54.3706858,18.61298210330077
-33.4377756,-70.6504502
-1.30326415,36.826384099341595
24.4538352,54.3774014
29.7589382,-95.3676974
41.6934591,44.8014495
25.074282349999997,55.18853865430702
4.6534649,-74.0836453
49.1922443,16.6113382
48.1371079,11.5753822
52.4006632,16.91973259178088
36.1672559,-115.148516
51.5073219,-0.1276474
34.0536909,-118.242766
8.9714493,-79.5341802
37.5666791,126.9782914
52.2337172,21.071432235636493
50.0874654,14.4212535
51.1089776,17.0326689
3.1516964,101.6942371
40.7127281,-74.0060152
55.6867243,12.5700724
46.0500268,14.5069289
30.7334421,76.7797143
6.9387469,79.8541134
28.5707841,77.3271074
54.8982139,23.9044817
37.9839412,23.7283052
33.4484367,-112.074141
22.2793278,114.1628131
45.5202471,-122.674194
38.7077507,-9.1365919
39.906217,116.3912757
-33.928992,18.417396
41.3305141,19.825562857582966
41.1494512,-8.6107884
-29.861825,31.009909
47.4979937,19.0403594
54.6870458,25.2829111
-26.205,28.049722
41.3828939,2.1774322
32.7174202,-117.1627728
37.7790262,-122.419906
-12.0621065,-77.0365256
47.6038321,-122.330062
45.6523093,25.6102746
44.4361414,26.1027202
41.3123363,69.2787079
23.0216238,72.5797068
46.769379,23.5899542
40.4167047,-3.7035825
59.4372155,24.7453688
12.9767936,77.590082
47.1615416,27.5837224
13.0836939,80.270186
25.2856329,51.5264162
28.6517178,77.2219388
28.42826235,77.00270014657752
39.4697065,-0.3763353
48.2083537,16.3725042
17.360589,78.4740613
-34.9058916,-56.1913095
32.0852997,34.7818064
45.7538355,21.2257474
25.0375198,121.5636796
22.5414185,88.35769124388872
41.9960924,21.4316495
31.2322758,121.4692071
13.7524938,100.4935089
19.0785451,72.878176
64.145981,-21.9422367
31.9515694,35.9239625
18.521428,73.8544541
59.3251172,18.0710935
-34.6075682,-58.4370894
53.9024716,27.5618225
9.9325427,-84.0795782
33.5950627,-7.6187768
51.7687323,19.4569911
45.5031824,-73.5698065
-23.5506507,-46.6333824
57.7072326,11.9670171
53.3498006,-6.2602964
55.7504461,37.6174943
18.4801972,-69.942111
-34.9281805,138.5999312
47.3744489,8.5410422
40.1776245,44.5126174
14.5948914,120.9782618
-27.4689682,153.0234991
-6.1753942,106.827183
39.9207886,32.8540482
49.841952,24.0315921
55.0282171,82.9234509
40.182737,29.0675481
50.8465573,4.351697
31.79592425,35.21198075969497
-37.8142176,144.9631608
-31.9558964,115.8605801
-33.8698439,151.2082848
31.199004,29.894378
-0.2201641,-78.5123274
